input: -0.123655, output_cpu: 0.469126, output_gpu: 0.469126
input: 0.533278, output_cpu: 0.630247, output_gpu: 0.630247
input: -0.082425, output_cpu: 0.479405, output_gpu: 0.479405
input: 0.085383, output_cpu: 0.521333, output_gpu: 0.521333
input: 0.360406, output_cpu: 0.589139, output_gpu: 0.589139
input: 0.276121, output_cpu: 0.568595, output_gpu: 0.568595
input: -0.249910, output_cpu: 0.437846, output_gpu: 0.437846
input: 0.010647, output_cpu: 0.502662, output_gpu: 0.502662
input: -0.292053, output_cpu: 0.427501, output_gpu: 0.427501
input: -0.094009, output_cpu: 0.476515, output_gpu: 0.476515
input: 0.050633, output_cpu: 0.512655, output_gpu: 0.512655
input: -0.728365, output_cpu: 0.325554, output_gpu: 0.325554
input: 0.045460, output_cpu: 0.511363, output_gpu: 0.511363
input: 0.106844, output_cpu: 0.526686, output_gpu: 0.526686
input: 0.475100, output_cpu: 0.616590, output_gpu: 0.616590
input: -0.181643, output_cpu: 0.454714, output_gpu: 0.454714
input: 0.072359, output_cpu: 0.518082, output_gpu: 0.518082
input: 0.864234, output_cpu: 0.703544, output_gpu: 0.703544
input: 0.342490, output_cpu: 0.584795, output_gpu: 0.584795
input: 0.100119, output_cpu: 0.525009, output_gpu: 0.525009
input: -0.451128, output_cpu: 0.389093, output_gpu: 0.389093
input: -0.198801, output_cpu: 0.450463, output_gpu: 0.450463
input: 0.747096, output_cpu: 0.678546, output_gpu: 0.678546
input: 0.464819, output_cpu: 0.614157, output_gpu: 0.614157
input: -1.155195, output_cpu: 0.239542, output_gpu: 0.239542
input: -0.303511, output_cpu: 0.424699, output_gpu: 0.424699
input: 0.223517, output_cpu: 0.555648, output_gpu: 0.555648
input: 0.491252, output_cpu: 0.620401, output_gpu: 0.620401
input: -0.238814, output_cpu: 0.440579, output_gpu: 0.440579
input: -0.315180, output_cpu: 0.421851, output_gpu: 0.421851
input: 0.485583, output_cpu: 0.619065, output_gpu: 0.619065
input: 0.050834, output_cpu: 0.512706, output_gpu: 0.512706
input: -0.305989, output_cpu: 0.424094, output_gpu: 0.424094
input: 0.068928, output_cpu: 0.517225, output_gpu: 0.517225
input: 0.640504, output_cpu: 0.654867, output_gpu: 0.654867
input: 1.809342, output_cpu: 0.859282, output_gpu: 0.859282
input: -2.524241, output_cpu: 0.074176, output_gpu: 0.074176
input: -1.301679, output_cpu: 0.213883, output_gpu: 0.213883
input: 0.224443, output_cpu: 0.555876, output_gpu: 0.555876
input: 0.192385, output_cpu: 0.547948, output_gpu: 0.547948
input: -0.019445, output_cpu: 0.495139, output_gpu: 0.495139
input: 0.083100, output_cpu: 0.520763, output_gpu: 0.520763
input: -0.126404, output_cpu: 0.468441, output_gpu: 0.468441
input: 0.189161, output_cpu: 0.547150, output_gpu: 0.547150
input: 0.529693, output_cpu: 0.629412, output_gpu: 0.629412
input: -0.386960, output_cpu: 0.404449, output_gpu: 0.404449
input: 0.064984, output_cpu: 0.516240, output_gpu: 0.516240
input: 1.047463, output_cpu: 0.740287, output_gpu: 0.740287
input: 1.742466, output_cpu: 0.851000, output_gpu: 0.851000
input: -2.633503, output_cpu: 0.067013, output_gpu: 0.067013
input: -1.069251, output_cpu: 0.255546, output_gpu: 0.255546
input: 0.944060, output_cpu: 0.719919, output_gpu: 0.719919
input: 0.124780, output_cpu: 0.531155, output_gpu: 0.531155
input: 0.093408, output_cpu: 0.523335, output_gpu: 0.523335
input: 0.382660, output_cpu: 0.594514, output_gpu: 0.594514
input: 0.532318, output_cpu: 0.630024, output_gpu: 0.630024
input: -0.620198, output_cpu: 0.349736, output_gpu: 0.349736
input: 0.484291, output_cpu: 0.618761, output_gpu: 0.618761
input: -0.623058, output_cpu: 0.349086, output_gpu: 0.349086
input: 0.182185, output_cpu: 0.545421, output_gpu: 0.545421
input: 0.596187, output_cpu: 0.644784, output_gpu: 0.644783
input: 0.274417, output_cpu: 0.568177, output_gpu: 0.568177
input: -1.200794, output_cpu: 0.231334, output_gpu: 0.231334
input: -0.307147, output_cpu: 0.423811, output_gpu: 0.423811
input: 0.584714, output_cpu: 0.642151, output_gpu: 0.642151
input: -0.195148, output_cpu: 0.451367, output_gpu: 0.451367
input: 0.000496, output_cpu: 0.500124, output_gpu: 0.500124
input: 0.989765, output_cpu: 0.729042, output_gpu: 0.729042
input: 0.229584, output_cpu: 0.557145, output_gpu: 0.557145
input: -0.968996, output_cpu: 0.275081, output_gpu: 0.275081
input: 0.916280, output_cpu: 0.714284, output_gpu: 0.714284
input: -0.673894, output_cpu: 0.337625, output_gpu: 0.337626
input: -0.513870, output_cpu: 0.374287, output_gpu: 0.374287
input: -0.019740, output_cpu: 0.495065, output_gpu: 0.495065
input: 0.496415, output_cpu: 0.621617, output_gpu: 0.621617
input: -1.320132, output_cpu: 0.210796, output_gpu: 0.210796
input: -0.219337, output_cpu: 0.445384, output_gpu: 0.445384
input: 0.680098, output_cpu: 0.663760, output_gpu: 0.663761
input: -0.425918, output_cpu: 0.395101, output_gpu: 0.395102
input: 0.004987, output_cpu: 0.501247, output_gpu: 0.501247
input: 0.896780, output_cpu: 0.710287, output_gpu: 0.710287
input: 0.465968, output_cpu: 0.614429, output_gpu: 0.614429
input: -0.077053, output_cpu: 0.480746, output_gpu: 0.480746
input: 0.893838, output_cpu: 0.709682, output_gpu: 0.709682
input: -0.631553, output_cpu: 0.347158, output_gpu: 0.347158
input: -0.345273, output_cpu: 0.414529, output_gpu: 0.414529
input: -0.744495, output_cpu: 0.322022, output_gpu: 0.322022
input: 0.305717, output_cpu: 0.575839, output_gpu: 0.575839
input: -0.750523, output_cpu: 0.320707, output_gpu: 0.320707
input: 0.007061, output_cpu: 0.501765, output_gpu: 0.501765
input: 0.414702, output_cpu: 0.602215, output_gpu: 0.602215
input: -0.754552, output_cpu: 0.319830, output_gpu: 0.319830
input: 0.147833, output_cpu: 0.536891, output_gpu: 0.536891
input: 0.432358, output_cpu: 0.606437, output_gpu: 0.606437
input: 0.376304, output_cpu: 0.592981, output_gpu: 0.592981
input: -0.664315, output_cpu: 0.339771, output_gpu: 0.339771
input: 0.514903, output_cpu: 0.625955, output_gpu: 0.625955
input: -0.025207, output_cpu: 0.493699, output_gpu: 0.493699
input: -0.360435, output_cpu: 0.410854, output_gpu: 0.410854
input: -1.190298, output_cpu: 0.233206, output_gpu: 0.233206
input: -0.137537, output_cpu: 0.465670, output_gpu: 0.465670
input: 0.179447, output_cpu: 0.544742, output_gpu: 0.544742
input: 0.126289, output_cpu: 0.531530, output_gpu: 0.531530
input: 0.293663, output_cpu: 0.572892, output_gpu: 0.572893
input: -0.684047, output_cpu: 0.335359, output_gpu: 0.335359
input: 0.344606, output_cpu: 0.585309, output_gpu: 0.585309
input: 0.238762, output_cpu: 0.559408, output_gpu: 0.559408
input: 0.639843, output_cpu: 0.654718, output_gpu: 0.654718
input: -1.134826, output_cpu: 0.243272, output_gpu: 0.243272
input: 0.123114, output_cpu: 0.530740, output_gpu: 0.530740
input: 0.153630, output_cpu: 0.538332, output_gpu: 0.538332
input: -0.587443, output_cpu: 0.357222, output_gpu: 0.357222
input: -0.898922, output_cpu: 0.289272, output_gpu: 0.289272
input: -0.039245, output_cpu: 0.490190, output_gpu: 0.490190
input: 0.509039, output_cpu: 0.624581, output_gpu: 0.624581
input: -0.150519, output_cpu: 0.462441, output_gpu: 0.462441
input: 0.669844, output_cpu: 0.661468, output_gpu: 0.661468
input: -1.113161, output_cpu: 0.247282, output_gpu: 0.247282
input: 0.248549, output_cpu: 0.561819, output_gpu: 0.561819
input: 0.766182, output_cpu: 0.682694, output_gpu: 0.682694
input: 0.529008, output_cpu: 0.629252, output_gpu: 0.629252
input: -1.476342, output_cpu: 0.185981, output_gpu: 0.185980
input: -0.048927, output_cpu: 0.487771, output_gpu: 0.487771
